name;open;high;low;close;volume;marketCap;timestamp
"2790";105.5910057733;106.2106137648;60.4971307641;99.268949596;0;1099871011.8505013;"2013-05-01T00:00:00.000Z"
"2790";99.1265890276;99.8691795147;66.9693530079;74.2784642216;0;844138338.8611004;"2013-06-01T00:00:00.000Z"
"2790";74.9615637579;83.9825024665;51.0764681398;79.7669145398;0;936944828.9514145;"2013-07-01T00:00:00.000Z"
"2790";79.8654014862;106.5814353504;76.6285573404;102.3905031421;0;1184052974.847733;"2013-08-01T00:00:00.000Z"
"2790";102.2316358194;110.8672619949;89.9058888012;98.3582310309;0;1184687514.184129;"2013-09-01T00:00:00.000Z"
"2790";98.1360892572;157.7221604417;75.2834634075;150.2209131075;0;1800043491.1242604;"2013-10-01T00:00:00.000Z"
"2790";150.1693871678;850.791091801;149.5365175354;831.1355167495;0;10031219119.75254;"2013-11-01T00:00:00.000Z"
"2790";830.7602060088;850.9015935212;305.8032214134;548.6103097829;15378099.933769962;6763798181.801457;"2013-12-01T00:00:00.000Z"
"2790";549.3087679738;747.6624486307;549.3087679738;615.4393644124;12447540.745052386;7449368320.721769;"2014-01-01T00:00:00.000Z"
"2790";614.4679164639;632.9403185252;305.952990075;397.956824928;20820244.7163515;5074789709.67742;"2014-02-01T00:00:00.000Z"
"2790";398.4349970368;511.6165464332;322.3769288405;331.7852527081;20470946.23967541;4167725284.0530357;"2014-03-01T00:00:00.000Z"
"2790";331.8327040372;391.8066825996;252.8410013488;322.8131456073;11069488.817891374;4132159573.685739;"2014-04-01T00:00:00.000Z"
"2790";322.8044967228;458.338244208;304.9798292838;457.5766705452;10894281.387466647;5774319373.822744;"2014-05-01T00:00:00.000Z"
"2790";457.5884029083;495.5605549873;406.0116555064;467.34623599;34058987.52751284;6086649849.361702;"2014-06-01T00:00:00.000Z"
"2790";468.4421495844;480.5039596753;421.3711923028;437.8809272121;16409509.202453988;5602425509.333918;"2014-07-01T00:00:00.000Z"
"2790";437.8563089089;448.0941173449;331.5289910245;363.9544454089;33337541.08156558;4715268867.455931;"2014-08-01T00:00:00.000Z"
"2790";364.0004474361;380.8528098028;293.3564427728;306.4174851474;26441642.541520648;3930078717.659607;"2014-09-01T00:00:00.000Z"
